"v_urb.1";"v_urb.2";"v_urb.3";"v_urb.4";"v_urb.5";"v_urb.6"
"-25-75";29;0;28;0;1;8
"75-175";29;0;45;1;1;7
"175-275";27;2;28;1;1;4
"275-375";30;78;22;4;4;4
"375-475";22;77;17;11;5;5
"475-575";12;76;14;20;7;5
"575-675";12;76;12;18;13;4
"675-775";11;76;11;17;17;3
"775-875";13;81;18;24;17;5
"875-975";22;168;17;31;13;4
"975-1075";22;182;22;35;15;5
"1075-1175";22;179;81;74;18;3
"1175-1275";9;79;123;90;23;3
"1275-1375";15;168;132;102;27;5
"1375-1475";14;173;178;111;28;5
"1475-1575";20;157;240;115;33;8
"1575-1675";94;238;240;117;39;6
"1675-1775";74;133;233;127;63;4
"1775-1875";33;103;233;107;48;3
"1875-1975";14;1;215;4;1;0
"1975-2016";7;0;185;2;1;0
