"portee.1";"portee.2";"portee.3";"portee.4"
"-25-250";73;24;11;0
"250-471";39;102;19;3
"471-750";32;103;10;4
"750-903";50;200;8;2
"903-1000";38;198;7;2
"1000-1100";55;217;8;3
"1100-1356";243;241;9;4
"1356-1622";372;424;13;1
"1622-1760";322;324;11;0
"1760-1840";318;218;8;0
"1840-1950";223;32;1;0
"1950-2016";199;11;1;0
