"portee.1";"portee.2";"portee.3";"portee.4"
"-25-1";3;0;0;0
"1-25";14;3;0;0
"25-50";27;11;8;0
"50-75";32;20;9;0
"75-100";31;14;10;0
"100-125";42;16;10;0
"125-150";32;16;11;0
"150-175";35;16;10;0
"175-200";29;15;10;0
"200-225";34;16;10;0
"225-250";29;12;10;0
"250-275";27;14;10;0
"275-300";23;14;9;0
"300-325";28;94;14;0
"325-350";20;92;9;0
"350-375";20;94;9;0
"375-400";20;94;9;0
"400-425";23;95;9;0
"425-450";16;87;8;2
"450-475";19;87;9;3
"475-500";18;86;9;4
"500-525";27;89;9;3
"525-550";22;89;8;2
"550-575";24;91;9;2
"575-600";24;92;8;2
"600-625";26;99;8;2
"625-650";22;96;8;2
"650-675";22;96;8;2
"675-700";22;97;8;2
"700-725";21;99;8;2
"725-750";20;97;8;2
"750-775";22;98;8;2
"775-800";21;98;8;2
"800-825";30;102;8;2
"825-850";28;97;7;2
"850-875";34;102;7;2
"875-900";33;98;7;2
"900-925";44;198;7;2
"925-950";36;197;7;2
"950-975";37;198;7;2
"975-1000";37;197;7;2
"1000-1025";50;200;7;3
"1025-1050";44;198;8;2
"1050-1075";45;215;3;2
"1075-1100";44;212;3;2
"1100-1125";130;215;4;2
"1125-1150";122;133;5;2
"1150-1175";127;133;5;2
"1175-1200";134;118;4;2
"1200-1225";184;123;6;3
"1225-1250";175;122;5;1
"1250-1275";180;123;5;1
"1275-1300";186;122;6;1
"1300-1325";211;128;5;2
"1325-1350";203;126;5;1
"1350-1375";205;224;5;1
"1375-1400";199;210;5;1
"1400-1425";250;210;6;1
"1425-1450";225;207;5;1
"1450-1475";237;219;7;1
"1475-1500";268;216;7;1
"1500-1525";317;215;11;1
"1525-1550";306;209;11;0
"1550-1575";304;215;10;0
"1575-1600";309;333;9;0
"1600-1625";313;274;9;0
"1625-1650";300;295;9;0
"1650-1675";307;292;8;0
"1675-1700";300;281;8;0
"1700-1725";304;266;8;0
"1725-1750";288;259;9;0
"1750-1775";305;224;9;0
"1775-1800";312;203;7;0
"1800-1825";234;56;3;0
"1825-1850";221;39;1;0
"1850-1875";221;20;1;0
"1875-1900";220;13;1;0
"1900-1925";212;11;1;0
"1925-1950";211;11;1;0
"1950-1975";199;11;1;0
"1975-2000";187;7;1;0
"2000-2016";172;7;1;0
