"v_usage.12";"v_usage.13";"v_usage.14";"v_usage.15";"v_usage.16";"v_usage.17";"v_usage.18";"v_usage.19";"v_usage.21";"v_usage.22";"v_usage.30";"v_usage.31";"v_usage.32";"v_usage.34";"v_usage.35";"v_usage.36";"v_usage.37";"v_usage.41";"v_usage.42";"v_usage.43";"v_usage.44";"v_usage.51";"v_usage.52";"v_usage.53";"v_usage.61";"v_usage.62";"v_usage.63";"v_usage.65"
"-25-1";0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"1-25";0;3;0;0;0;2;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;1
"25-50";1;6;0;8;1;6;0;1;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;3;2;0;1
"50-75";1;10;1;8;1;5;0;1;0;0;1;0;0;0;1;3;20;0;0;0;0;1;0;0;3;4;0;1
"75-100";2;10;0;8;1;2;0;1;0;0;2;0;0;0;1;2;19;1;0;0;0;1;0;0;3;2;0;0
"100-125";3;12;0;8;1;3;0;1;0;0;2;0;0;0;1;2;31;1;0;0;0;1;0;0;0;2;0;0
"125-150";3;11;0;8;1;3;0;1;0;0;2;0;0;0;2;2;23;1;0;0;0;1;0;0;1;0;0;0
"150-175";2;11;0;8;1;3;0;1;0;0;2;0;0;0;1;2;26;1;0;0;0;1;0;0;1;1;0;0
"175-200";2;11;0;8;1;2;0;1;0;0;1;0;0;0;1;2;21;1;0;0;0;1;0;0;1;1;0;0
"200-225";2;11;1;8;1;2;0;1;0;0;1;0;0;0;1;2;24;1;0;0;0;1;0;0;1;1;2;0
"225-250";1;11;1;8;1;1;0;0;0;0;1;0;0;0;1;2;19;1;0;0;0;0;0;0;1;1;2;0
"250-275";1;10;1;8;1;1;0;0;0;2;1;0;0;0;1;2;18;1;0;0;0;0;0;0;1;1;2;0
"275-300";1;10;1;8;1;1;0;0;0;2;0;0;0;0;0;2;16;1;0;0;0;0;0;0;1;0;2;0
"300-325";1;10;3;13;1;1;1;0;76;2;0;0;0;0;0;2;20;1;0;0;0;1;0;0;1;0;3;0
"325-350";1;10;3;6;1;0;1;0;76;2;0;0;0;0;0;0;12;0;3;0;0;2;0;0;1;0;3;0
"350-375";1;10;3;6;1;0;1;0;76;2;0;0;0;0;0;0;12;0;3;0;0;4;0;0;1;0;3;0
"375-400";1;10;3;6;1;0;1;0;76;1;0;0;0;0;0;1;12;0;4;0;0;3;0;0;1;0;3;0
"400-425";1;10;3;6;1;0;0;0;76;1;0;0;0;0;0;1;15;0;4;0;1;4;0;0;1;0;3;0
"425-450";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;9;0;7;0;1;4;0;0;1;0;3;0
"450-475";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;10;0;8;0;2;5;0;0;1;1;3;0
"475-500";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;10;0;8;1;2;4;0;0;1;0;3;0
"500-525";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;14;0;10;2;2;5;0;2;1;1;3;0
"525-550";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;10;0;9;2;1;5;0;2;0;1;3;0
"550-575";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;10;0;11;5;1;5;0;2;0;1;3;0
"575-600";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;10;0;10;6;1;5;0;2;0;1;3;0
"600-625";0;6;1;5;0;0;0;0;76;0;0;0;0;0;0;0;12;0;10;7;1;9;0;4;0;1;3;0
"625-650";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;9;0;10;7;0;8;0;4;0;0;3;0
"650-675";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;9;0;10;7;0;8;0;4;0;0;3;0
"675-700";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;9;0;10;7;0;9;0;4;0;0;3;0
"700-725";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;8;0;10;7;0;9;0;6;0;0;3;0
"725-750";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;7;0;10;7;0;7;0;6;0;0;3;0
"750-775";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;9;0;10;7;0;7;0;7;0;0;3;0
"775-800";0;6;0;5;0;0;0;0;76;0;0;0;0;0;0;0;8;0;10;7;0;6;0;7;0;1;3;0
"800-825";0;6;0;5;0;0;0;0;76;0;1;0;0;0;0;0;14;0;11;7;0;7;2;8;0;1;4;0
"825-850";0;6;0;5;0;0;0;0;76;0;1;0;0;0;0;0;11;0;12;7;0;5;2;5;0;1;3;0
"850-875";0;6;0;5;0;0;2;0;81;0;1;0;0;0;0;0;13;0;16;6;0;5;2;5;0;0;3;0
"875-900";0;2;0;5;0;0;2;0;82;0;1;0;0;0;0;0;12;0;15;6;0;5;2;5;0;0;3;0
"900-925";0;14;0;5;0;0;2;0;168;0;1;0;0;0;0;0;16;0;19;9;0;5;2;6;0;0;4;0
"925-950";0;14;0;5;0;0;2;0;168;0;1;0;0;0;0;0;13;0;18;8;0;3;2;6;0;0;2;0
"950-975";0;14;0;5;0;0;2;0;168;0;1;0;0;0;0;0;13;0;19;9;0;3;2;6;0;0;2;0
"975-1000";0;14;0;5;0;0;2;0;168;0;1;0;0;0;0;0;13;0;19;8;0;3;2;6;0;0;2;0
"1000-1025";0;15;0;5;0;0;2;0;168;0;1;0;0;0;0;0;19;0;25;9;0;3;4;6;0;1;2;0
"1025-1050";0;15;0;5;0;0;2;0;166;0;1;0;1;0;0;0;15;0;24;8;0;3;4;6;0;1;1;0
"1050-1075";0;15;0;0;0;0;2;0;180;0;1;0;1;1;0;0;13;0;25;8;0;3;5;7;0;1;3;0
"1075-1100";0;14;0;0;0;0;2;0;177;0;1;0;1;1;0;0;14;0;26;7;0;3;5;7;0;1;2;0
"1100-1125";0;3;0;0;0;0;8;0;179;0;1;0;1;1;0;0;76;0;30;30;2;3;7;7;0;1;2;0
"1125-1150";0;1;0;0;0;0;8;0;97;0;1;0;1;1;0;0;73;0;29;30;2;3;7;7;0;0;2;0
"1150-1175";0;1;0;0;0;0;8;0;97;0;1;0;1;2;0;0;74;0;30;33;2;3;7;6;0;0;2;0
"1175-1200";0;1;0;0;0;0;8;0;79;0;1;0;1;2;0;0;84;0;26;33;2;3;9;7;0;0;2;0
"1200-1225";0;1;0;0;0;0;8;0;79;0;1;0;2;4;0;0;114;0;32;48;2;3;9;10;0;0;3;0
"1225-1250";0;1;0;0;0;0;8;0;77;0;0;0;1;4;0;0;109;0;28;47;2;3;10;10;0;0;3;0
"1250-1275";0;1;0;0;0;0;8;0;77;0;0;0;1;4;0;0;110;0;28;53;2;3;10;9;0;0;3;0
"1275-1300";0;1;0;0;0;0;8;0;76;0;0;0;1;4;0;0;114;0;29;55;2;3;10;9;0;0;3;0
"1300-1325";1;1;0;0;0;1;8;0;76;0;0;0;1;4;0;0;127;0;30;67;2;2;10;11;0;0;4;1
"1325-1350";1;1;0;0;0;1;8;0;75;0;0;0;1;3;0;0;122;0;27;67;2;2;9;12;0;0;3;1
"1350-1375";1;4;0;0;1;1;8;0;167;0;0;0;1;3;0;0;122;0;28;68;2;2;10;13;0;0;3;1
"1375-1400";1;3;0;0;1;0;8;0;155;0;0;0;1;3;0;0;119;0;25;68;2;2;10;13;0;0;3;1
"1400-1425";1;3;0;0;1;0;7;0;155;0;1;0;2;3;0;0;162;0;26;75;2;2;10;13;0;0;3;1
"1425-1450";1;3;0;0;1;0;6;0;155;0;1;0;2;3;0;0;148;0;26;62;2;2;10;13;0;0;3;0
"1450-1475";1;4;0;0;1;0;6;0;163;0;1;0;4;3;0;0;154;0;27;68;2;2;11;13;0;1;3;0
"1475-1500";0;6;1;0;1;0;6;0;154;0;1;0;4;3;0;0;177;0;29;75;3;2;13;13;0;1;3;0
"1500-1525";0;6;1;0;7;0;6;0;149;0;1;0;4;3;0;0;224;0;30;73;3;2;13;14;0;5;3;0
"1525-1550";0;6;1;0;7;0;5;0;146;0;1;0;4;3;0;0;222;0;27;65;3;1;13;14;0;5;3;0
"1550-1575";0;6;1;0;7;0;5;0;149;0;1;0;4;3;0;0;222;0;25;65;3;1;15;14;0;5;3;0
"1575-1600";0;12;1;0;7;0;73;0;193;0;1;0;6;3;0;0;227;0;25;64;3;1;15;14;0;3;3;0
"1600-1625";0;7;1;0;7;0;73;0;130;0;1;0;6;3;0;0;229;0;25;70;3;1;15;19;0;3;3;0
"1625-1650";0;7;1;0;7;0;73;0;143;0;1;0;7;3;0;0;218;0;25;75;5;1;17;17;0;1;3;0
"1650-1675";0;7;1;0;7;0;69;0;143;0;1;0;7;3;0;0;217;0;26;82;4;1;17;18;0;1;3;0
"1675-1700";0;3;1;0;7;0;63;0;133;0;1;0;7;2;0;0;217;0;25;76;5;1;23;21;0;1;3;0
"1700-1725";0;2;1;0;7;0;61;0;118;0;1;1;8;2;0;0;217;0;25;79;5;1;25;21;0;1;3;0
"1725-1750";0;1;1;0;7;0;58;0;114;0;1;1;8;2;0;0;206;0;24;73;5;1;30;20;0;1;3;0
"1750-1775";0;1;1;0;7;0;33;0;113;0;1;1;7;3;0;0;207;0;24;89;6;1;22;19;0;0;3;0
"1775-1800";0;1;1;0;7;0;23;0;103;0;0;1;4;2;0;0;225;0;26;75;5;1;21;24;0;0;3;0
"1800-1825";0;0;1;0;6;0;22;0;16;0;0;0;2;1;0;0;224;0;6;3;1;1;2;8;0;0;0;0
"1825-1850";0;0;1;0;4;0;17;0;13;0;0;0;0;0;0;0;214;0;3;2;1;0;0;6;0;0;0;0
"1850-1875";0;0;1;0;4;0;16;0;1;0;0;0;0;0;0;0;213;0;4;2;0;0;0;1;0;0;0;0
"1875-1900";0;0;1;0;2;0;10;0;1;0;0;0;0;0;0;0;215;0;3;1;0;0;0;1;0;0;0;0
"1900-1925";0;0;1;0;1;0;8;0;1;0;0;0;0;0;0;0;209;0;2;1;0;0;0;1;0;0;0;0
"1925-1950";0;0;1;0;1;0;8;0;1;0;0;0;0;0;0;0;208;0;2;1;0;0;0;1;0;0;0;0
"1950-1975";0;0;1;0;2;0;8;0;1;0;0;0;0;0;0;0;196;0;2;0;0;0;0;1;0;0;0;0
"1975-2000";0;0;1;0;1;0;5;0;0;0;0;0;0;0;0;0;185;0;2;0;0;0;0;1;0;0;0;0
"2000-2016";0;0;1;0;1;0;5;0;0;0;0;0;0;0;0;0;170;0;2;0;0;0;0;1;0;0;0;0
