"v_urb.1";"v_urb.2";"v_urb.3";"v_urb.4";"v_urb.5";"v_urb.6"
"-25-250";37;0;57;1;1;12
"250-471";30;78;31;12;6;6
"471-750";12;76;16;22;17;6
"750-903";14;168;23;30;19;6
"903-1000";21;168;14;29;11;2
"1000-1100";22;182;23;36;15;5
"1100-1356";17;179;144;123;28;6
"1356-1622";100;258;266;137;40;9
"1622-1760";88;143;232;128;62;4
"1760-1840";40;104;238;111;48;3
"1840-1950";21;13;215;6;1;0
"1950-2016";11;1;196;2;1;0
