"v_urb.1";"v_urb.2";"v_urb.3";"v_urb.4";"v_urb.5";"v_urb.6"
"-25-1";2;0;1;0;0;0
"1-25";5;0;11;0;0;1
"25-50";23;0;17;0;0;6
"50-75";27;0;25;0;1;8
"75-100";24;0;24;1;1;5
"100-125";28;0;36;1;1;2
"125-150";27;0;29;1;1;1
"150-175";26;0;31;1;1;2
"175-200";25;0;25;1;1;2
"200-225";26;0;28;1;1;4
"225-250";23;0;23;1;0;4
"250-275";22;2;22;1;0;4
"275-300";22;2;18;1;0;3
"300-325";30;78;22;1;1;4
"325-350";22;78;12;3;2;4
"350-375";22;78;12;3;4;4
"375-400";22;77;13;4;3;4
"400-425";21;77;16;5;4;4
"425-450";12;76;9;8;4;4
"450-475";12;76;10;10;5;5
"475-500";12;76;10;11;4;4
"500-525";12;76;14;14;7;5
"525-550";12;76;10;12;7;4
"550-575";12;76;10;17;7;4
"575-600";12;76;10;17;7;4
"600-625";12;76;12;18;13;4
"625-650";11;76;9;17;12;3
"650-675";11;76;9;17;12;3
"675-700";11;76;9;17;13;3
"700-725";11;76;8;17;15;3
"725-750";11;76;7;17;13;3
"750-775";11;76;9;17;14;3
"775-800";11;76;8;17;13;4
"800-825";11;76;15;18;17;5
"825-850";11;76;12;19;12;4
"850-875";13;81;14;22;12;3
"875-900";9;82;13;21;12;3
"900-925";21;168;17;28;13;4
"925-950";21;168;14;26;11;2
"950-975";21;168;14;28;11;2
"975-1000";21;168;14;27;11;2
"1000-1025";22;168;20;34;13;3
"1025-1050";22;166;17;32;13;2
"1050-1075";17;180;16;33;15;4
"1075-1100";16;177;17;33;15;3
"1100-1125";11;179;79;62;17;3
"1125-1150";9;97;76;61;17;2
"1150-1175";9;97;78;65;16;2
"1175-1200";9;79;88;61;19;2
"1200-1225";9;79;121;82;22;3
"1225-1250";9;77;114;77;23;3
"1250-1275";9;77;115;83;22;3
"1275-1300";9;76;119;86;22;3
"1300-1325";11;76;132;99;23;5
"1325-1350";11;75;126;96;23;4
"1350-1375";15;167;126;98;25;4
"1375-1400";13;155;123;95;25;4
"1400-1425";12;155;168;103;25;4
"1425-1450";11;155;154;90;25;3
"1450-1475";12;163;162;97;26;4
"1475-1500";14;154;185;107;28;4
"1500-1525";20;149;232;106;29;8
"1525-1550";19;146;230;95;28;8
"1550-1575";19;149;230;93;30;8
"1575-1600";93;193;237;92;30;6
"1600-1625";88;130;239;98;35;6
"1625-1650";88;143;229;105;35;4
"1650-1675";84;143;228;112;36;4
"1675-1700";74;133;227;106;45;4
"1700-1725";71;118;229;109;47;4
"1725-1750";67;114;218;102;51;4
"1750-1775";42;113;219;119;42;3
"1775-1800";32;103;232;106;46;3
"1800-1825";29;16;227;10;11;0
"1825-1850";22;13;214;6;6;0
"1850-1875";21;1;213;6;1;0
"1875-1900";13;1;215;4;1;0
"1900-1925";10;1;209;3;1;0
"1925-1950";10;1;208;3;1;0
"1950-1975";11;1;196;2;1;0
"1975-2000";7;0;185;2;1;0
"2000-2016";7;0;170;2;1;0
