"","OH_NUM","date_debut","date_fin","ID","ID_nom","occupation","densite","date_debut_OH","date_fin_OH","n_zone","diff_zone_occ","diff_zone_dens","n_diff_occ","n_diff_dens","NOM","V_USAGE","NOM_USAGE","V_URB","PORTEE"
"39","202",40,349,NA,NA,"non urbaine","0",40,400,2,FALSE,FALSE,1,1,"STR 19 = M20, systeme de noria/acqueduc (site 16)",16,"adductions d'eau","1",2
"40","204",50,70,"EU_01","ville_ouverte_1","urbaine","2",50,70,1,FALSE,FALSE,0,0,"occupation indeterminee (site 3)",14,"aménagements du relief","1",2
"41","205",70,299,"EU_01","ville_ouverte_1","urbaine","2",70,300,2,FALSE,FALSE,0,0,"Etat 1 des thermes N (site 3)",36,"bains, thermes","3",2
"42","206",300,549,"EU_03","cite_castrum","urbaine","2",300,1150,4,FALSE,FALSE,0,0,"mur W du rempart BE",21,"système défensif urbain","2",2
"43","207",300,349,NA,NA,"non urbaine","0",300,1050,3,FALSE,FALSE,2,2,"tour angle NW du rempart BE",21,"système défensif urbain","2",2
"44","208",300,1621,NA,NA,"non urbaine","0",300,1750,2,FALSE,FALSE,1,1,"tronçon mur N, W poterne du rempart BE",21,"système défensif urbain","2",2
"45","209",300,1450,NA,NA,"non urbaine","0",300,1450,1,FALSE,FALSE,0,0,"poterne du rempart BE",21,"système défensif urbain","2",2
"46","210",300,1621,NA,NA,"non urbaine","0",300,1750,2,FALSE,FALSE,1,1,"tronçon mur N, E poterne du rempart BE",21,"système défensif urbain","2",2
"47","214",95,200,"EU_01","ville_ouverte_1","urbaine","2",95,200,1,FALSE,FALSE,0,0,"habitation (2e bat.) (site 10)",37,"habitat","3",1
"48","216",700,1500,NA,NA,"non urbaine","0",700,1500,1,FALSE,FALSE,0,0,"sepultures (site 10)",51,"aire funéraire","5",2
"49","217",20,100,"EU_01","ville_ouverte_1","urbaine","2",20,100,1,FALSE,FALSE,0,0,"batiment sur solins (etat 2) (site 7, zone 3)",37,"habitat","3",1
"50","218",100,299,"EU_01","ville_ouverte_1","urbaine","2",100,300,2,FALSE,FALSE,0,1,"domus a peristyle  (site 7, zone 3)",37,"habitat","3",1
"51","220",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,350,2,FALSE,FALSE,1,1,"sepultures (site 7, zone 3)",51,"aire funéraire","5",2
"52","221",470,471,"EU_05","centre_sm_1","intermediaire","1",470,471,1,FALSE,FALSE,0,0,"STR ? atelier mosa´ste (site 7, zone 3)",62,"artisanat, ateliers","6",1
"53","222",450,500,"EU_05","centre_sm_1","intermediaire","1",450,500,1,FALSE,FALSE,0,0,"cabane excavee (site 7, zone 5)",44,"bâtiments ecclésiastiques","4",4
"54","236",40,200,"EU_01","ville_ouverte_1","urbaine","2",40,200,1,FALSE,FALSE,0,0,"ensemble monumental, batiment 1 (M29/M7) (site 1)",19,"édifice monumental indéterminé","1",2
"55","237",150,250,"EU_01","ville_ouverte_1","urbaine","2",150,250,1,FALSE,FALSE,0,0,"bat. 3-4-5 (site1)",62,"artisanat, ateliers","6",1
"56","240",20,100,"EU_01","ville_ouverte_1","urbaine","2",20,100,1,FALSE,FALSE,0,0,"TOTA (site 8)",37,"habitat","3",1
"57","241",100,850,NA,NA,"non urbaine","0",100,850,1,FALSE,FALSE,0,0,"quai/terrasse (M10) (site 8)",13,"aménagement des berges","1",2
"58","245",400,899,NA,NA,"non urbaine","0",400,900,2,FALSE,FALSE,1,1,"sepultures (site 8)",51,"aire funéraire","5",2
"59","253",500,549,"EU_03","cite_castrum","urbaine","2",500,700,2,FALSE,FALSE,0,0,"terres noires (site 3)",37,"habitat","3",1
"60","256",-25,40,NA,NA,"non urbaine","0",-50,40,1,FALSE,FALSE,0,0,"alluvions, lit de la Loire (site 16)",13,"aménagement des berges","1",1
"61","257",40,400,NA,NA,"non urbaine","0",40,400,1,FALSE,FALSE,0,0,"M26 (site 16)",13,"aménagement des berges","1",2
"62","258",40,400,NA,NA,"non urbaine","0",40,400,1,FALSE,FALSE,0,0,"alluvions, lit de la Loire (site 16)",13,"aménagement des berges","1",1
"63","401",1,120,NA,NA,"non urbaine","0",1,120,1,FALSE,FALSE,0,0,"graviers, lit de la Loire (site 69)",13,"aménagement des berges","1",1
"64","402",20,60,"EU_01","ville_ouverte_1","urbaine","2",20,60,1,FALSE,FALSE,0,0,"batiment A (site 64)",37,"habitat","3",1
"65","403",40,60,"EU_01","ville_ouverte_1","urbaine","2",40,60,1,FALSE,FALSE,0,0,"fosse de drainage (F538) (site 64)",17,"collecteurs, évacuations","1",2
"66","404",40,60,"EU_01","ville_ouverte_1","urbaine","2",40,60,1,FALSE,FALSE,0,0,"canal de drainage (F710) (site 64)",17,"collecteurs, évacuations","1",2
"67","405",40,60,"EU_01","ville_ouverte_1","urbaine","2",40,60,1,FALSE,FALSE,0,0,"occupation bronzier (site 64)",62,"artisanat, ateliers","6",1
"68","406",60,70,"EU_01","ville_ouverte_1","urbaine","2",60,70,1,FALSE,FALSE,0,0,"edifice monumental, thermes (site 64)",36,"bains, thermes","3",2
"69","407",70,299,"EU_01","ville_ouverte_1","urbaine","2",70,300,2,FALSE,FALSE,0,1,"edifice monumental, thermes (site 64)",36,"bains, thermes","3",2
"70","409",680,1280,NA,NA,"non urbaine","0",680,1280,1,FALSE,FALSE,0,0,"sepultures (site 64)",51,"aire funéraire","5",2
"71","410",120,225,NA,NA,"non urbaine","0",120,225,1,FALSE,FALSE,0,0,"depotoire avec graviers, lit de la Loire (site 69)",13,"aménagement des berges","1",1
"72","411",225,1100,NA,NA,"non urbaine","0",225,1100,1,FALSE,FALSE,0,0,"graviers, lit de la Loire (site 69)",13,"aménagement des berges","1",1
"73","601",100,250,"EU_01","ville_ouverte_1","urbaine","2",100,250,1,FALSE,FALSE,0,0,"Batiment meridional (site 15)",37,"habitat","3",1
"74","604",25,60,"EU_01","ville_ouverte_1","urbaine","2",25,60,1,FALSE,FALSE,0,0,"Ocupation a vocation artisanale (site 15)",62,"artisanat, ateliers","6",1
"75","605",60,250,"EU_01","ville_ouverte_1","urbaine","2",60,250,1,FALSE,FALSE,0,0,"Batiment septentrional (site 15)",37,"habitat","3",1
"76","803",130,250,"EU_01","ville_ouverte_1","urbaine","2",130,250,1,FALSE,FALSE,0,0,"2nd etat de l'amphitheatre",35,"spectacles, sports","3",3
"77","804",250,299,"EU_01","ville_ouverte_1","urbaine","2",250,350,3,FALSE,FALSE,1,2,"fosse/valum, fortification de l'amphi (site 6)",22,"structures fortifiées","2",2
"78","806",300,549,"EU_03","cite_castrum","urbaine","2",300,1610,4,FALSE,FALSE,0,1,"bastion sud",21,"système défensif urbain","2",2
"79","901",300,1621,NA,NA,"non urbaine","0",300,1685,2,FALSE,FALSE,1,1,"tour angle  SE (rempart BE) (Tour de Cupidon au Moyen Age)",21,"système défensif urbain","2",2
"80","902",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur E, entre tour SE et tour pt cupidon",21,"système défensif urbain","2",2
"81","903",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tronçon mur E, entre t pt cupidon/t 5r pt cupidon",21,"système défensif urbain","2",2
"82","904",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,5,FALSE,FALSE,0,1,"tour E Cupidon (rempart BE)",21,"système défensif urbain","2",2
"83","905",300,1621,NA,NA,"non urbaine","0",300,1685,2,FALSE,FALSE,1,1,"tour E petit Cupidon (rempart BE) (Tour Saint-Jean au Moyen Age)",21,"système défensif urbain","2",2
"84","906",300,549,"EU_03","cite_castrum","urbaine","2",300,1700,7,FALSE,FALSE,0,0,"tour E (5 rue du petit Cupidon) (rempart BE) (Tour Guespiere au Moyen Age)",21,"système défensif urbain","2",2
"85","907",300,549,"EU_03","cite_castrum","urbaine","2",300,1685,7,FALSE,FALSE,0,0,"tronçon mur E (rempart BE)",21,"système défensif urbain","2",2
