"","OH_NUM","DATE_DEB","DATE_FIN","V_USAGE","V_URB","PORTEE","p_1","p_2","p_3","p_4","urb_1","urb_2","urb_3","urb_4","urb_5","urb_6"
"84",1754,75,100,"37","3","1",6,0,0,0,0,0,6,0,0,0
"85",1756,100,400,"37","3","1",15,0,0,0,1,0,14,0,0,0
"86",1757,100,150,"37","3","1",15,0,0,0,1,0,14,0,0,0
"87",1758,150,400,"37","3","1",12,0,0,0,1,0,11,0,0,0
"88",1759,1500,1600,"62","6","3",1,3,0,0,0,1,0,1,1,1
"89",1760,1500,1600,"62","6","2",1,2,1,0,0,1,0,1,1,1
"90",1761,1300,1400,"65","6","2",0,1,0,0,0,0,0,0,1,0
"91",1764,50,120,"62","6","1",4,4,0,0,3,0,2,0,0,3
"92",1765,50,120,"62","6","1",4,4,0,0,3,0,2,0,0,3
"93",1771,-50,20,"37","3","1",0,0,0,0,0,0,0,0,0,0
"94",1775,500,600,"37","3","1",1,2,1,3,0,0,0,4,2,1
"95",1776,500,600,"62","6","1",1,2,1,3,0,0,1,4,2,0
"96",1777,500,750,"51","5","2",2,1,1,3,0,0,1,4,1,1
"97",1778,600,700,"51","5","2",2,2,1,2,0,0,1,3,2,1
"98",1779,750,850,"37","3","1",0,4,0,1,0,0,0,2,3,0
"99",1780,800,900,"51","5","2",1,3,0,1,0,0,1,2,2,0
"100",1782,1100,1791,"43","4","1",6,19,0,1,1,11,0,11,3,0
"101",1783,70,250,"30","3","1",0,0,1,0,0,0,1,0,0,0
"102",1787,300,375,"18","1","2",0,18,0,0,1,16,1,0,0,0
"103",1788,375,400,"36","3","2",0,18,0,0,2,16,0,0,0,0
"104",1789,1200,1800,"32","3","3",0,8,1,0,0,8,1,0,0,0
"105",1790,850,1044,"37","3","1",1,12,0,0,0,12,1,0,0,0
"106",1801,1200,1500,"37","3","1",1,0,0,0,0,0,0,1,0,0
"107",1802,1500,1791,"43","4","1",6,0,0,0,0,0,2,4,0,0
"108",1809,1600,1780,"21","2","2",0,5,0,0,5,0,0,0,0,0
"109",1811,869,1750,"21","2","2",0,10,0,0,2,8,0,0,0,0
"110",1836,1642,1842,"21","2","2",0,8,0,0,6,1,1,0,0,0
"111",1848,-999,900,"13","1","1",0,0,0,0,0,0,0,0,0,0
"112",1849,900,1050,"13","1","1",1,0,0,0,1,0,0,0,0,0
"113",1850,20,50,"37","3","1",0,0,0,0,0,0,0,0,0,0
"114",1853,150,200,"37","3","1",6,0,0,0,0,0,6,0,0,0
"115",1857,853,1150,"42","4","1",0,9,0,0,0,9,0,0,0,0
"116",1863,1159,1764,"34","3","2",5,1,0,0,0,1,4,1,0,0
"117",1865,600,800,"51","5","2",0,4,0,0,3,0,0,0,1,0
"118",1866,600,800,"53","5","2",0,4,0,0,3,0,0,0,1,0
"119",1869,1356,1650,"21","2","2",2,8,0,0,0,8,1,1,0,0
"120",1874,40,75,"61","6","1",4,2,0,0,2,0,2,0,0,2
