"","OH_NUM","date_debut","date_fin","ID","ID_nom","occupation","densite","date_debut_OH","date_fin_OH","n_zone","diff_zone_occ","diff_zone_dens","n_diff_occ","n_diff_dens","NOM","V_USAGE","NOM_USAGE","V_URB","PORTEE"
"37","28",1356,1499,"EU_20","chateauneuf_N","urbaine","2",1023,1790,4,FALSE,FALSE,0,0,"Saint-Denis",42,"édifices culturels catholiques","4",1
"38","28",1500,1621,"EU_26","tours_N_1","urbaine","2",1023,1790,4,FALSE,FALSE,0,0,"Saint-Denis",42,"édifices culturels catholiques","4",1
"39","28",1622,1790,"EU_27","tours_N_2","urbaine","2",1023,1790,4,FALSE,FALSE,0,0,"Saint-Denis",42,"édifices culturels catholiques","4",1
"40","31",1140,1350,NA,NA,"non urbaine","0",1140,1350,1,FALSE,FALSE,0,0,"Saint-Medard",42,"édifices culturels catholiques","4",1
"41","32",850,899,NA,NA,"non urbaine","0",850,1100,2,FALSE,FALSE,1,1,"Saint-Simple",42,"édifices culturels catholiques","4",1
"42","32",900,1100,"EU_11","suburbium_sm","urbaine","2",850,1100,2,TRUE,TRUE,1,1,"Saint-Simple",42,"édifices culturels catholiques","4",1
"43","34",877,899,"EU_09","cite_NE_1","urbaine","2",877,918,2,FALSE,FALSE,0,0,"Saint-Martin-de-la-Bazoche",43,"bâtiments conventuels ou monastiques","4",1
"44","34",900,918,"EU_13","cite_NE_2","urbaine","2",877,918,2,FALSE,FALSE,0,0,"Saint-Martin-de-la-Bazoche",43,"bâtiments conventuels ou monastiques","4",1
"45","35",920,1140,"EU_11","suburbium_sm","urbaine","2",920,1140,1,FALSE,FALSE,0,0,"Notre-Dame-la-Pauvre",42,"édifices culturels catholiques","4",1
"46","36",1140,1355,"EU_11","suburbium_sm","urbaine","2",1140,1800,4,FALSE,FALSE,2,0,"Notre-Dame-la-Riche",42,"édifices culturels catholiques","4",1
"47","36",1356,1621,"EU_18","faubourg_O_14e","intermediaire","2",1140,1800,4,TRUE,FALSE,2,0,"Notre-Dame-la-Riche",42,"édifices culturels catholiques","4",1
"48","36",1622,1799,"EU_27","tours_N_2","urbaine","2",1140,1800,4,TRUE,FALSE,2,0,"Notre-Dame-la-Riche",42,"édifices culturels catholiques","4",1
"49","36",1800,1800,"EU_31","tours_N_3","urbaine","2",1140,1800,4,FALSE,FALSE,2,0,"Notre-Dame-la-Riche",42,"édifices culturels catholiques","4",1
"50","38",1150,1171,"EU_11","suburbium_sm","urbaine","2",1150,1171,1,FALSE,FALSE,0,0,"Saint-Michel-de-la-Guerche",43,"bâtiments conventuels ou monastiques","4",1
"51","39",522,549,"EU_03","cite_castrum","urbaine","2",522,1350,3,FALSE,FALSE,0,1,"Sainte-Marie et Saint-Jean-Baptiste",42,"édifices culturels catholiques","4",1
"52","39",550,899,"EU_08","cite_SO_1","urbaine","3",522,1350,3,FALSE,TRUE,0,1,"Sainte-Marie et Saint-Jean-Baptiste",42,"édifices culturels catholiques","4",1
"53","39",900,1350,"EU_12","cite_SO_2","urbaine","3",522,1350,3,FALSE,FALSE,0,1,"Sainte-Marie et Saint-Jean-Baptiste",42,"édifices culturels catholiques","4",1
"54","40",470,549,"EU_05","centre_sm_1","intermediaire","1",470,1800,4,FALSE,FALSE,1,1,"Baptistere de Saint-Martin",42,"édifices culturels catholiques","4",3
"55","40",550,1355,"EU_06","centre_sm_2","urbaine","3",470,1800,4,TRUE,TRUE,1,1,"Baptistere de Saint-Martin",42,"édifices culturels catholiques","4",3
"56","40",1356,1799,"EU_19","chateauneuf_S","urbaine","3",470,1800,4,FALSE,FALSE,1,1,"Baptistere de Saint-Martin",42,"édifices culturels catholiques","4",3
"57","40",1800,1800,"EU_29","tours_sm","urbaine","3",470,1800,4,FALSE,FALSE,1,1,"Baptistere de Saint-Martin",42,"édifices culturels catholiques","4",3
"58","45",550,849,"EU_06","centre_sm_2","urbaine","3",550,849,1,FALSE,FALSE,0,0,"Monastere d'Ingytrude",43,"bâtiments conventuels ou monastiques","4",2
"59","46",1000,1355,"EU_11","suburbium_sm","urbaine","2",1000,1778,2,FALSE,FALSE,0,1,"Saint-Simple",42,"édifices culturels catholiques","4",1
"60","46",1356,1778,"EU_19","chateauneuf_S","urbaine","3",1000,1778,2,FALSE,TRUE,0,1,"Saint-Simple",42,"édifices culturels catholiques","4",1
"61","47",1100,1355,"EU_11","suburbium_sm","urbaine","2",1100,1790,4,FALSE,FALSE,0,0,"Saint-Clement",42,"édifices culturels catholiques","4",1
"62","47",1356,1499,"EU_20","chateauneuf_N","urbaine","2",1100,1790,4,FALSE,FALSE,0,0,"Saint-Clement",42,"édifices culturels catholiques","4",1
"63","47",1500,1621,"EU_26","tours_N_1","urbaine","2",1100,1790,4,FALSE,FALSE,0,0,"Saint-Clement",42,"édifices culturels catholiques","4",1
"64","47",1622,1790,"EU_27","tours_N_2","urbaine","2",1100,1790,4,FALSE,FALSE,0,0,"Saint-Clement",42,"édifices culturels catholiques","4",1
"65","108",15,40,"EU_01","ville_ouverte_1","urbaine","2",15,40,1,FALSE,FALSE,0,0,"STR 19 (site 14)",37,"habitat","3",1
"66","109",40,299,"EU_01","ville_ouverte_1","urbaine","2",40,300,2,FALSE,FALSE,0,1,"structure 16 (site 14)",37,"habitat","3",1
"67","109",300,300,"EU_02","ville_ouverte_O","urbaine","1",40,300,2,FALSE,TRUE,0,1,"structure 16 (site 14)",37,"habitat","3",1
"68","111",140,299,"EU_01","ville_ouverte_1","urbaine","2",140,500,3,FALSE,FALSE,1,1,"piece 1, structure 16 (site14)",61,"commerce, échanges, boutiques","6",1
"69","111",300,349,"EU_02","ville_ouverte_O","urbaine","1",140,500,3,FALSE,TRUE,1,1,"piece 1, structure 16 (site14)",61,"commerce, échanges, boutiques","6",1
"70","111",350,500,"EU_04","stjulien_1","intermediaire","1",140,500,3,TRUE,FALSE,1,1,"piece 1, structure 16 (site14)",61,"commerce, échanges, boutiques","6",1
"71","112",300,349,"EU_02","ville_ouverte_O","urbaine","1",300,500,2,FALSE,FALSE,1,0,"structure 16 demantelee (site 14)",37,"habitat","3",1
"72","112",350,500,"EU_04","stjulien_1","intermediaire","1",300,500,2,TRUE,FALSE,1,0,"structure 16 demantelee (site 14)",37,"habitat","3",1
"73","113",40,125,"EU_01","ville_ouverte_1","urbaine","2",40,125,1,FALSE,FALSE,0,0,"construction sur parcelle centrale (site 14)",37,"habitat","3",1
"74","114",125,225,"EU_01","ville_ouverte_1","urbaine","2",125,225,1,FALSE,FALSE,0,0,"habitation sur parcelle centrale (site 14)",37,"habitat","3",1
"75","115",40,299,"EU_01","ville_ouverte_1","urbaine","2",40,300,2,FALSE,FALSE,0,1,"structure 18 (site 14)",37,"habitat","3",1
"76","115",300,300,"EU_02","ville_ouverte_O","urbaine","1",40,300,2,FALSE,TRUE,0,1,"structure 18 (site 14)",37,"habitat","3",1
"77","116",40,160,"EU_01","ville_ouverte_1","urbaine","2",40,160,1,FALSE,FALSE,0,0,"structure 17 (site 14)",37,"habitat","3",1
"78","117",160,299,"EU_01","ville_ouverte_1","urbaine","2",160,500,3,FALSE,FALSE,1,1,"structure 17 (site 14)",37,"habitat","3",1
"79","117",300,349,"EU_02","ville_ouverte_O","urbaine","1",160,500,3,FALSE,TRUE,1,1,"structure 17 (site 14)",37,"habitat","3",1
"80","117",350,500,"EU_04","stjulien_1","intermediaire","1",160,500,3,TRUE,FALSE,1,1,"structure 17 (site 14)",37,"habitat","3",1
"81","118",450,688,"EU_04","stjulien_1","intermediaire","1",450,688,1,FALSE,FALSE,0,0,"premiere phase de terres noires (site 14)",37,"habitat","3",1
"82","119",619,688,"EU_04","stjulien_1","intermediaire","1",619,688,1,FALSE,FALSE,0,0,"sepultures (site 14)",51,"aire funéraire","5",2
"83","201",40,349,NA,NA,"non urbaine","0",40,400,2,FALSE,FALSE,1,1,"STR 18, culee du pont (site 16)",15,"franchissements","1",3
"84","201",350,400,"EU_04","stjulien_1","intermediaire","1",40,400,2,TRUE,TRUE,1,1,"STR 18, culee du pont (site 16)",15,"franchissements","1",3
"85","202",40,349,NA,NA,"non urbaine","0",40,400,2,FALSE,FALSE,1,1,"STR 19 = M20, systeme de noria/acqueduc (site 16)",16,"adductions d'eau","1",2
"86","202",350,400,"EU_04","stjulien_1","intermediaire","1",40,400,2,TRUE,TRUE,1,1,"STR 19 = M20, systeme de noria/acqueduc (site 16)",16,"adductions d'eau","1",2
"87","204",50,70,"EU_01","ville_ouverte_1","urbaine","2",50,70,1,FALSE,FALSE,0,0,"occupation indeterminee (site 3)",14,"aménagements du relief","1",2
"88","205",70,299,"EU_01","ville_ouverte_1","urbaine","2",70,300,2,FALSE,FALSE,0,0,"Etat 1 des thermes N (site 3)",36,"bains, thermes","3",2
